epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.2049,1.00056,3.12336,1.26266,0.61626,0.52913,0.57483,0.39029,1.03424,1.60425,1.24399,0.000138115,0.000138115,0.000138115
2,51.0321,1.08995,2.00617,1.32382,0.61317,0.58182,0.61737,0.40671,1.07625,1.46045,1.28708,0.000271628,0.000271628,0.000271628
3,75.5529,1.09877,1.84252,1.32976,0.55293,0.54956,0.54624,0.34797,1.1647,1.55937,1.36133,0.000399637,0.000399637,0.000399637
4,99.8822,1.12136,1.81229,1.35128,0.57771,0.56116,0.57723,0.36899,1.17307,1.56798,1.36723,0.00039223,0.00039223,0.00039223
5,123.752,1.09495,1.7418,1.34085,0.61968,0.55967,0.60091,0.38998,1.18212,1.45789,1.359,0.000383974,0.000383974,0.000383974
6,149.54,1.08033,1.67804,1.32279,0.6335,0.56626,0.60122,0.38629,1.17116,1.42851,1.35938,0.000375717,0.000375717,0.000375717
7,176.374,1.06674,1.61273,1.31186,0.59666,0.59081,0.60999,0.3926,1.16549,1.41127,1.35107,0.00036746,0.00036746,0.00036746
8,202.112,1.06672,1.54784,1.30406,0.64825,0.59478,0.63845,0.4144,1.15249,1.33508,1.33828,0.000359204,0.000359204,0.000359204
9,227.289,1.0558,1.50054,1.29657,0.64004,0.56471,0.60593,0.38939,1.16844,1.40693,1.37644,0.000350947,0.000350947,0.000350947
10,253.01,1.03338,1.44579,1.28346,0.67044,0.60293,0.65779,0.43079,1.1505,1.31208,1.33735,0.000342691,0.000342691,0.000342691
11,277.178,1.00848,1.42081,1.27746,0.64738,0.59457,0.62995,0.40962,1.16123,1.33291,1.33628,0.000334434,0.000334434,0.000334434
12,301.423,1.0164,1.38301,1.27844,0.68826,0.61384,0.66851,0.44203,1.13553,1.2498,1.31942,0.000326177,0.000326177,0.000326177
13,325.669,0.9973,1.32987,1.25361,0.70609,0.62381,0.68282,0.45253,1.13232,1.24318,1.32185,0.000317921,0.000317921,0.000317921
14,349.964,0.9925,1.30571,1.2481,0.64566,0.63649,0.66991,0.44671,1.11821,1.24955,1.30873,0.000309664,0.000309664,0.000309664
15,374.204,0.9872,1.27973,1.24322,0.69804,0.63295,0.68562,0.45489,1.125,1.21384,1.31823,0.000301408,0.000301408,0.000301408
16,398.476,0.97373,1.24244,1.23399,0.69133,0.64954,0.69787,0.4678,1.10696,1.18225,1.29902,0.000293151,0.000293151,0.000293151
17,422.58,0.97065,1.20206,1.23697,0.6757,0.63783,0.69023,0.46015,1.12854,1.1982,1.31797,0.000284894,0.000284894,0.000284894
18,446.575,0.97088,1.2072,1.23066,0.71679,0.63987,0.6966,0.46945,1.10724,1.15767,1.29781,0.000276638,0.000276638,0.000276638
19,470.74,0.94865,1.16346,1.21658,0.71339,0.63924,0.69956,0.47271,1.10332,1.1571,1.28482,0.000268381,0.000268381,0.000268381
20,495.065,0.92954,1.13328,1.20682,0.71032,0.637,0.70185,0.46947,1.10285,1.153,1.30291,0.000260125,0.000260125,0.000260125
21,520.636,0.93914,1.11992,1.20524,0.69337,0.64391,0.70028,0.47768,1.10455,1.16858,1.30013,0.000251868,0.000251868,0.000251868
22,546.653,0.91995,1.09688,1.19571,0.74437,0.63851,0.71406,0.48074,1.10459,1.13415,1.29641,0.000243611,0.000243611,0.000243611
23,572.115,0.91546,1.07304,1.19097,0.71477,0.64813,0.70419,0.46725,1.12371,1.13219,1.30711,0.000235355,0.000235355,0.000235355
24,597.502,0.91791,1.06035,1.19529,0.72194,0.66544,0.72057,0.49169,1.10909,1.10441,1.29901,0.000227098,0.000227098,0.000227098
25,622.815,0.90845,1.02435,1.18215,0.70403,0.67266,0.72153,0.49331,1.09216,1.10634,1.2878,0.000218842,0.000218842,0.000218842
26,648.27,0.88858,1.00524,1.17321,0.73764,0.65836,0.72729,0.4962,1.09461,1.08091,1.28202,0.000210585,0.000210585,0.000210585
27,673.595,0.90242,1.00575,1.18768,0.73142,0.66536,0.72088,0.48851,1.09733,1.10673,1.28124,0.000202328,0.000202328,0.000202328
28,698.75,0.89439,0.99573,1.17835,0.74105,0.6363,0.71391,0.48423,1.09772,1.09742,1.28799,0.000194072,0.000194072,0.000194072
29,724.027,0.87087,0.97638,1.16719,0.74218,0.65129,0.73208,0.50445,1.08993,1.07546,1.28934,0.000185815,0.000185815,0.000185815
30,749.728,0.86714,0.96011,1.15745,0.73122,0.66274,0.72152,0.49773,1.09752,1.07869,1.2804,0.000177559,0.000177559,0.000177559
31,775.181,0.87991,0.96446,1.16638,0.73587,0.65317,0.72292,0.49404,1.09473,1.08678,1.28891,0.000169302,0.000169302,0.000169302
32,800.871,0.84838,0.92682,1.15083,0.76556,0.6557,0.73613,0.50908,1.07931,1.04222,1.27137,0.000161045,0.000161045,0.000161045
33,826.416,0.84488,0.91976,1.14508,0.75851,0.65927,0.73528,0.50959,1.07326,1.05129,1.27248,0.000152789,0.000152789,0.000152789
34,851.829,0.84649,0.91983,1.14648,0.74603,0.67545,0.73815,0.50654,1.07614,1.04341,1.2725,0.000144532,0.000144532,0.000144532
35,877.433,0.83947,0.89718,1.13801,0.757,0.67785,0.74124,0.50911,1.07979,1.04665,1.28213,0.000136276,0.000136276,0.000136276
36,902.799,0.81965,0.88797,1.13692,0.75014,0.68541,0.75013,0.5188,1.07582,1.02247,1.27554,0.000128019,0.000128019,0.000128019
37,928.159,0.81966,0.86334,1.12943,0.7745,0.66848,0.7546,0.52274,1.0742,1.01959,1.28302,0.000119762,0.000119762,0.000119762
38,954.69,0.81691,0.85352,1.1252,0.76823,0.67293,0.74872,0.51754,1.07218,1.02406,1.27389,0.000111506,0.000111506,0.000111506
39,980.933,0.81328,0.83785,1.12059,0.7839,0.66307,0.7543,0.52295,1.07109,1.01078,1.27527,0.000103249,0.000103249,0.000103249
40,1007.98,0.80525,0.84603,1.12584,0.76911,0.67743,0.75346,0.52561,1.06155,1.00542,1.25988,9.49926e-05,9.49926e-05,9.49926e-05
41,1045.01,0.7612,0.75901,1.08956,0.73666,0.6738,0.73477,0.5122,1.0717,1.02714,1.2795,8.6736e-05,8.6736e-05,8.6736e-05
42,1071.54,0.73323,0.67409,1.06733,0.77664,0.65795,0.74248,0.51648,1.07785,1.03112,1.27917,7.84794e-05,7.84794e-05,7.84794e-05
43,1097.81,0.72184,0.66992,1.06076,0.76971,0.66522,0.74334,0.51853,1.06785,1.02068,1.27659,7.02228e-05,7.02228e-05,7.02228e-05
44,1122.88,0.71254,0.64362,1.04981,0.77982,0.66384,0.75219,0.52382,1.07275,1.01365,1.27921,6.19662e-05,6.19662e-05,6.19662e-05
45,1148.24,0.70962,0.63878,1.04021,0.77816,0.67294,0.75508,0.52725,1.06204,1.00829,1.27627,5.37096e-05,5.37096e-05,5.37096e-05
46,1173.42,0.69633,0.61835,1.03233,0.7671,0.68397,0.75616,0.53096,1.06383,0.998,1.27416,4.5453e-05,4.5453e-05,4.5453e-05
47,1198.58,0.68433,0.6109,1.03328,0.77408,0.68107,0.75676,0.53037,1.06287,1.00185,1.27341,3.71964e-05,3.71964e-05,3.71964e-05
48,1223.63,0.68944,0.60129,1.03092,0.75061,0.70528,0.75643,0.53104,1.05804,0.99088,1.26587,2.89398e-05,2.89398e-05,2.89398e-05
49,1248.84,0.6782,0.60085,1.02027,0.78369,0.67683,0.75744,0.53378,1.05854,0.99432,1.27222,2.06832e-05,2.06832e-05,2.06832e-05
50,1273.73,0.67324,0.5897,1.02543,0.79044,0.68078,0.76139,0.53664,1.05325,0.98714,1.26833,1.24266e-05,1.24266e-05,1.24266e-05
