epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.735,1.00072,3.11546,1.26364,0.60416,0.54355,0.58923,0.40574,1.01035,1.61431,1.2256,0.000138115,0.000138115,0.000138115
2,50.1855,1.08528,2.00042,1.31874,0.65226,0.58629,0.62967,0.42341,1.06991,1.39086,1.27751,0.000271628,0.000271628,0.000271628
3,74.142,1.09014,1.83554,1.32227,0.59752,0.53134,0.56635,0.35647,1.21061,1.57161,1.41481,0.000399637,0.000399637,0.000399637
4,97.9925,1.11565,1.8168,1.35152,0.57065,0.54687,0.55658,0.35383,1.17832,1.56425,1.38543,0.00039223,0.00039223,0.00039223
5,121.96,1.08779,1.75964,1.33713,0.63092,0.59159,0.6211,0.40945,1.13925,1.39857,1.32889,0.000383974,0.000383974,0.000383974
6,145.917,1.07518,1.67125,1.32323,0.6304,0.59203,0.61352,0.39404,1.15582,1.39106,1.36171,0.000375717,0.000375717,0.000375717
7,169.841,1.05841,1.59473,1.30912,0.63033,0.56712,0.61964,0.40042,1.16398,1.37943,1.36482,0.00036746,0.00036746,0.00036746
8,193.739,1.0611,1.53749,1.29995,0.70577,0.59269,0.66771,0.44125,1.14179,1.29045,1.33198,0.000359204,0.000359204,0.000359204
9,217.62,1.04285,1.47913,1.28486,0.66011,0.59519,0.6402,0.41562,1.1326,1.29738,1.32684,0.000350947,0.000350947,0.000350947
10,241.517,1.0254,1.42439,1.27374,0.68183,0.61897,0.67072,0.44496,1.14335,1.25132,1.31626,0.000342691,0.000342691,0.000342691
11,265.438,0.99145,1.39597,1.26393,0.68734,0.61021,0.65682,0.43633,1.13636,1.29763,1.33215,0.000334434,0.000334434,0.000334434
12,289.169,1.00442,1.36655,1.26996,0.69551,0.60551,0.67607,0.44897,1.11526,1.2473,1.31348,0.000326177,0.000326177,0.000326177
13,313.182,0.99642,1.32462,1.25418,0.73309,0.62249,0.69024,0.46318,1.11044,1.21042,1.30146,0.000317921,0.000317921,0.000317921
14,337.062,0.99072,1.29687,1.25095,0.70791,0.60661,0.67303,0.45163,1.12899,1.23892,1.31974,0.000309664,0.000309664,0.000309664
15,360.862,0.98532,1.26508,1.24516,0.68522,0.62918,0.68141,0.45713,1.11511,1.19311,1.30109,0.000301408,0.000301408,0.000301408
16,384.69,0.96954,1.22957,1.23041,0.70479,0.62403,0.68129,0.4584,1.1212,1.22376,1.30422,0.000293151,0.000293151,0.000293151
17,408.457,0.96587,1.19675,1.23458,0.68462,0.64766,0.69715,0.47404,1.10019,1.16802,1.29646,0.000284894,0.000284894,0.000284894
18,432.525,0.9644,1.19442,1.22668,0.70972,0.60734,0.68277,0.45857,1.10938,1.21418,1.30659,0.000276638,0.000276638,0.000276638
19,456.392,0.93884,1.15429,1.2124,0.69229,0.64523,0.69881,0.47247,1.10622,1.16236,1.29283,0.000268381,0.000268381,0.000268381
