epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.9245,0.99745,3.15985,1.26967,0.55926,0.5329,0.55898,0.38525,1.01544,1.7643,1.23835,0.000138115,0.000138115,0.000138115
2,53.5432,1.09329,2.04487,1.33163,0.5783,0.59817,0.61303,0.40617,1.10065,1.63776,1.3266,0.000271628,0.000271628,0.000271628
3,81.4487,1.10346,1.86522,1.3379,0.58274,0.52811,0.56153,0.35452,1.19634,1.56013,1.37648,0.000399637,0.000399637,0.000399637
4,108.039,1.11988,1.81212,1.34885,0.62143,0.54615,0.58116,0.37781,1.1868,1.58231,1.38365,0.00039223,0.00039223,0.00039223
5,134.25,1.09451,1.75762,1.34127,0.64724,0.54699,0.60616,0.39104,1.17389,1.43811,1.35878,0.000383974,0.000383974,0.000383974
6,160.985,1.08333,1.68113,1.3278,0.65567,0.5751,0.63076,0.41096,1.16435,1.43298,1.34745,0.000375717,0.000375717,0.000375717
7,188.403,1.06964,1.61918,1.31845,0.64825,0.58295,0.64354,0.41537,1.16892,1.3666,1.36287,0.00036746,0.00036746,0.00036746
8,214.762,1.07673,1.56417,1.3139,0.65602,0.58272,0.64125,0.41934,1.15142,1.34052,1.33787,0.000359204,0.000359204,0.000359204
9,239.574,1.0524,1.49486,1.29587,0.69795,0.60287,0.66794,0.43699,1.14769,1.28291,1.33601,0.000350947,0.000350947,0.000350947
10,264.979,1.03668,1.43906,1.28203,0.68697,0.58693,0.65235,0.43043,1.14476,1.321,1.32856,0.000342691,0.000342691,0.000342691
11,290.337,1.00983,1.4079,1.27516,0.66833,0.57113,0.6285,0.41261,1.15454,1.31572,1.33152,0.000334434,0.000334434,0.000334434
12,316.252,1.01397,1.37625,1.2757,0.67055,0.62172,0.66247,0.44179,1.10987,1.26451,1.30177,0.000326177,0.000326177,0.000326177
13,341.96,1.0011,1.31094,1.25571,0.68794,0.63587,0.68473,0.45438,1.13858,1.2452,1.32395,0.000317921,0.000317921,0.000317921
14,367.566,0.99483,1.29361,1.25159,0.67705,0.63345,0.67427,0.44461,1.1311,1.23864,1.31914,0.000309664,0.000309664,0.000309664
15,394.035,0.99129,1.27417,1.25066,0.71036,0.64133,0.70188,0.47522,1.10825,1.18258,1.29919,0.000301408,0.000301408,0.000301408
16,419.381,0.97505,1.23573,1.23511,0.67615,0.6576,0.69392,0.46287,1.12201,1.18792,1.30623,0.000293151,0.000293151,0.000293151
17,443.877,0.9655,1.19128,1.23557,0.70109,0.61895,0.68857,0.4616,1.12639,1.19465,1.31973,0.000284894,0.000284894,0.000284894
