epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.0454,1.0235,3.16802,1.27833,0.56985,0.52114,0.54605,0.36905,1.0535,1.72733,1.25875,0.000138115,0.000138115,0.000138115
2,52.429,1.11428,2.07183,1.34515,0.58409,0.56606,0.59067,0.39252,1.13189,1.54678,1.32426,0.000271628,0.000271628,0.000271628
3,77.1761,1.12187,1.898,1.34759,0.60117,0.51604,0.56654,0.35317,1.18773,1.54599,1.39726,0.000399637,0.000399637,0.000399637
4,101.913,1.14077,1.85608,1.36924,0.5924,0.51573,0.53393,0.33581,1.22196,1.61069,1.40293,0.00039223,0.00039223,0.00039223
5,127.2,1.10853,1.80948,1.35776,0.60982,0.52426,0.56507,0.35518,1.20263,1.53677,1.40022,0.000383974,0.000383974,0.000383974
6,151.952,1.09767,1.72926,1.33999,0.62651,0.55215,0.59596,0.38273,1.18731,1.47035,1.36897,0.000375717,0.000375717,0.000375717
7,176.789,1.07962,1.65913,1.3199,0.60896,0.55873,0.58886,0.37724,1.19621,1.47656,1.39118,0.00036746,0.00036746,0.00036746
8,201.359,1.08172,1.61711,1.32229,0.67459,0.56894,0.6273,0.40877,1.17882,1.38033,1.36808,0.000359204,0.000359204,0.000359204
9,226.359,1.06793,1.55397,1.31134,0.66763,0.55757,0.61684,0.39582,1.1862,1.3969,1.378,0.000350947,0.000350947,0.000350947
10,250.917,1.05386,1.50306,1.29846,0.65971,0.58578,0.63746,0.41133,1.16076,1.34352,1.34008,0.000342691,0.000342691,0.000342691
11,275.758,1.02259,1.47345,1.29038,0.64003,0.55183,0.61292,0.40137,1.16419,1.39512,1.36275,0.000334434,0.000334434,0.000334434
12,300.749,1.0277,1.44362,1.28639,0.6794,0.59848,0.65392,0.43272,1.12923,1.29526,1.3278,0.000326177,0.000326177,0.000326177
13,326.31,1.00872,1.36712,1.26558,0.69428,0.58784,0.652,0.42492,1.17064,1.29359,1.35548,0.000317921,0.000317921,0.000317921
14,352.746,1.01079,1.35084,1.2667,0.70159,0.59401,0.66085,0.43614,1.15928,1.27168,1.34863,0.000309664,0.000309664,0.000309664
15,378.505,1.01065,1.32932,1.26446,0.70676,0.61574,0.68141,0.45467,1.14119,1.24271,1.32807,0.000301408,0.000301408,0.000301408
16,402.728,0.99137,1.28928,1.24721,0.67387,0.61162,0.65773,0.43478,1.15034,1.28225,1.33223,0.000293151,0.000293151,0.000293151
17,427.738,0.98402,1.24616,1.24962,0.68566,0.62487,0.67189,0.4506,1.12728,1.24385,1.31093,0.000284894,0.000284894,0.000284894
18,453.836,0.9861,1.2401,1.24413,0.69089,0.61668,0.67526,0.44856,1.12936,1.22133,1.31664,0.000276638,0.000276638,0.000276638
19,479.588,0.96313,1.19698,1.22807,0.68299,0.6224,0.67927,0.4529,1.13423,1.19673,1.31253,0.000268381,0.000268381,0.000268381
20,505.533,0.94688,1.18145,1.2232,0.70755,0.60513,0.67538,0.44816,1.1472,1.2333,1.33934,0.000260125,0.000260125,0.000260125
21,531.663,0.95005,1.15923,1.21725,0.71209,0.61526,0.6876,0.46908,1.11954,1.23104,1.31438,0.000251868,0.000251868,0.000251868
22,557.473,0.94292,1.13486,1.20966,0.73859,0.60487,0.68724,0.46422,1.1354,1.20223,1.31804,0.000243611,0.000243611,0.000243611
23,582.963,0.93002,1.10862,1.20422,0.71952,0.63544,0.68997,0.4636,1.13289,1.16892,1.32063,0.000235355,0.000235355,0.000235355
24,609.244,0.93243,1.10332,1.20481,0.72547,0.6227,0.69662,0.46992,1.14175,1.18491,1.32082,0.000227098,0.000227098,0.000227098
25,634.959,0.91478,1.0573,1.1888,0.72623,0.63127,0.70392,0.48007,1.11797,1.16012,1.30953,0.000218842,0.000218842,0.000218842
26,660.389,0.90096,1.05444,1.18446,0.72206,0.6284,0.69746,0.47924,1.11904,1.16971,1.30247,0.000210585,0.000210585,0.000210585
27,685.703,0.91195,1.03577,1.19163,0.72058,0.64135,0.69963,0.48159,1.11187,1.13453,1.29758,0.000202328,0.000202328,0.000202328
28,710.6,0.90684,1.02359,1.18655,0.71446,0.63968,0.69755,0.47273,1.11445,1.14777,1.30222,0.000194072,0.000194072,0.000194072
29,735.426,0.88674,1.01014,1.17828,0.72206,0.6618,0.71337,0.48894,1.10428,1.118,1.30102,0.000185815,0.000185815,0.000185815
30,760.198,0.87738,0.99489,1.16428,0.7245,0.65064,0.71404,0.49199,1.10302,1.11612,1.28848,0.000177559,0.000177559,0.000177559
31,784.464,0.88988,1.00052,1.17377,0.75197,0.65004,0.71335,0.48999,1.10039,1.12592,1.29705,0.000169302,0.000169302,0.000169302
32,808.952,0.85442,0.95274,1.15586,0.74448,0.65269,0.72631,0.50188,1.09735,1.08655,1.29147,0.000161045,0.000161045,0.000161045
33,833.863,0.85898,0.95115,1.15826,0.7644,0.6456,0.72366,0.49807,1.11161,1.10315,1.30671,0.000152789,0.000152789,0.000152789
34,858.83,0.86646,0.95427,1.16148,0.73592,0.64729,0.72162,0.49922,1.0914,1.093,1.28794,0.000144532,0.000144532,0.000144532
