epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.0391,0.9976,3.13287,1.26232,0.59121,0.55068,0.58265,0.39778,1.02501,1.60585,1.24551,0.000138115,0.000138115,0.000138115
2,50.9989,1.08887,1.99442,1.32264,0.6258,0.59709,0.63914,0.42632,1.06918,1.52009,1.28388,0.000271628,0.000271628,0.000271628
3,75.5091,1.08985,1.82891,1.32483,0.59479,0.54023,0.57771,0.3686,1.15681,1.51141,1.35998,0.000399637,0.000399637,0.000399637
4,102.419,1.11116,1.78939,1.34136,0.57316,0.55194,0.56573,0.36421,1.16771,1.56843,1.35595,0.00039223,0.00039223,0.00039223
5,129.49,1.08445,1.74481,1.33,0.61957,0.5755,0.61177,0.39749,1.14878,1.44261,1.33765,0.000383974,0.000383974,0.000383974
6,154.12,1.06763,1.67351,1.31689,0.64694,0.57591,0.62097,0.39912,1.1631,1.40031,1.35018,0.000375717,0.000375717,0.000375717
7,178.312,1.06029,1.59169,1.30873,0.63573,0.60092,0.63873,0.41368,1.17869,1.35744,1.35559,0.00036746,0.00036746,0.00036746
8,202.333,1.06457,1.55857,1.30376,0.67789,0.59594,0.66056,0.43779,1.13765,1.29009,1.33216,0.000359204,0.000359204,0.000359204
9,226.474,1.04603,1.49523,1.28952,0.67256,0.5963,0.64031,0.42243,1.14669,1.31862,1.33271,0.000350947,0.000350947,0.000350947
10,250.738,1.03116,1.43973,1.27881,0.68852,0.58529,0.65204,0.41926,1.1632,1.32208,1.33983,0.000342691,0.000342691,0.000342691
11,274.812,1.00235,1.4017,1.26934,0.65555,0.61315,0.65817,0.43726,1.11632,1.2974,1.31767,0.000334434,0.000334434,0.000334434
12,298.856,1.00226,1.37336,1.26111,0.70324,0.62873,0.69467,0.46373,1.1011,1.22527,1.30236,0.000326177,0.000326177,0.000326177
13,323.238,0.98711,1.31237,1.24897,0.65869,0.63475,0.66195,0.44049,1.11949,1.24821,1.31226,0.000317921,0.000317921,0.000317921
14,347.279,0.98468,1.29408,1.24109,0.67814,0.63304,0.68202,0.45875,1.11386,1.21139,1.30545,0.000309664,0.000309664,0.000309664
15,371.247,0.98921,1.27652,1.24648,0.72959,0.63083,0.7057,0.47663,1.09797,1.18473,1.29431,0.000301408,0.000301408,0.000301408
16,395.295,0.97313,1.23783,1.23115,0.71042,0.63499,0.70121,0.47355,1.10478,1.17361,1.297,0.000293151,0.000293151,0.000293151
17,419.194,0.96296,1.21593,1.23816,0.7139,0.6204,0.693,0.46986,1.11928,1.20331,1.30921,0.000284894,0.000284894,0.000284894
18,443.349,0.96307,1.20494,1.23039,0.71029,0.64668,0.6964,0.47049,1.10758,1.17084,1.29211,0.000276638,0.000276638,0.000276638
19,467.28,0.9404,1.14678,1.21143,0.70882,0.65568,0.7061,0.48145,1.0904,1.13544,1.28569,0.000268381,0.000268381,0.000268381
20,491.25,0.92357,1.12607,1.20426,0.73009,0.65315,0.71984,0.4906,1.09763,1.12871,1.30041,0.000260125,0.000260125,0.000260125
21,515.44,0.93433,1.11942,1.20382,0.75322,0.63411,0.71217,0.483,1.09775,1.15218,1.2942,0.000251868,0.000251868,0.000251868
22,539.458,0.92071,1.08827,1.19973,0.7205,0.64537,0.70916,0.48538,1.08735,1.13014,1.2841,0.000243611,0.000243611,0.000243611
23,563.463,0.91369,1.0627,1.19025,0.72325,0.6511,0.71082,0.4831,1.10279,1.11456,1.28195,0.000235355,0.000235355,0.000235355
24,587.583,0.91624,1.05801,1.19313,0.74384,0.6394,0.72197,0.49158,1.10425,1.11099,1.28755,0.000227098,0.000227098,0.000227098
25,613.385,0.90567,1.01905,1.17876,0.73787,0.65389,0.71914,0.48991,1.08307,1.08935,1.2751,0.000218842,0.000218842,0.000218842
26,638.391,0.88928,1.00098,1.17001,0.74419,0.64804,0.72413,0.49429,1.08128,1.08773,1.27259,0.000210585,0.000210585,0.000210585
27,662.904,0.89705,0.99289,1.18185,0.72385,0.67092,0.72476,0.49334,1.10082,1.08756,1.28121,0.000202328,0.000202328,0.000202328
28,687.109,0.88734,0.98373,1.17401,0.74871,0.66345,0.73572,0.50533,1.09378,1.06845,1.28698,0.000194072,0.000194072,0.000194072
29,711.186,0.86931,0.97575,1.16607,0.75909,0.65167,0.74184,0.51233,1.08545,1.07411,1.27971,0.000185815,0.000185815,0.000185815
30,735.107,0.86234,0.95129,1.15529,0.7388,0.67934,0.74594,0.51566,1.07666,1.05643,1.27109,0.000177559,0.000177559,0.000177559
31,758.998,0.87614,0.95768,1.16258,0.77578,0.65295,0.73838,0.5049,1.08298,1.06587,1.27986,0.000169302,0.000169302,0.000169302
32,783.069,0.84359,0.92404,1.14748,0.77292,0.66739,0.75053,0.52015,1.07986,1.02946,1.27429,0.000161045,0.000161045,0.000161045
33,807.101,0.84271,0.91418,1.14231,0.74096,0.67375,0.74102,0.51061,1.07556,1.03697,1.27016,0.000152789,0.000152789,0.000152789
34,830.904,0.84399,0.9135,1.14629,0.74798,0.67953,0.74791,0.51454,1.08029,1.03827,1.2839,0.000144532,0.000144532,0.000144532
35,854.861,0.83708,0.89703,1.13662,0.73855,0.69213,0.749,0.51593,1.08002,1.0245,1.27483,0.000136276,0.000136276,0.000136276
36,878.803,0.81246,0.87283,1.13187,0.76371,0.6855,0.75435,0.52542,1.0665,1.0063,1.26085,0.000128019,0.000128019,0.000128019
37,903.268,0.81592,0.84938,1.12632,0.76344,0.67847,0.7538,0.52346,1.07361,1.02608,1.27037,0.000119762,0.000119762,0.000119762
38,927.675,0.81572,0.85608,1.12337,0.79167,0.66226,0.7517,0.51953,1.07336,1.02187,1.26704,0.000111506,0.000111506,0.000111506
39,951.691,0.80599,0.82693,1.11265,0.77718,0.66901,0.75601,0.52402,1.06877,1.0013,1.26442,0.000103249,0.000103249,0.000103249
40,975.644,0.80408,0.84527,1.12483,0.771,0.6808,0.75183,0.52139,1.06451,1.02567,1.26325,9.49926e-05,9.49926e-05,9.49926e-05
41,1011.5,0.75279,0.7416,1.08056,0.76239,0.66267,0.74314,0.51475,1.06636,1.03018,1.27228,8.6736e-05,8.6736e-05,8.6736e-05
42,1036.62,0.729,0.67529,1.06048,0.77329,0.6646,0.74502,0.51586,1.0802,1.03426,1.27793,7.84794e-05,7.84794e-05,7.84794e-05
43,1062.41,0.71723,0.66727,1.05702,0.76174,0.67815,0.74685,0.52054,1.06099,1.01321,1.2663,7.02228e-05,7.02228e-05,7.02228e-05
44,1088.2,0.70697,0.63468,1.04349,0.78563,0.66756,0.75151,0.52464,1.06881,1.01497,1.27191,6.19662e-05,6.19662e-05,6.19662e-05
45,1112.23,0.70822,0.63416,1.04107,0.76148,0.68226,0.75169,0.52645,1.06492,1.00179,1.27041,5.37096e-05,5.37096e-05,5.37096e-05
46,1138.45,0.69645,0.61558,1.02979,0.78977,0.66591,0.75624,0.53219,1.06107,1.00522,1.26598,4.5453e-05,4.5453e-05,4.5453e-05
47,1162.5,0.68508,0.60521,1.03387,0.76322,0.69153,0.75673,0.53343,1.05801,0.99519,1.26508,3.71964e-05,3.71964e-05,3.71964e-05
48,1186.54,0.68557,0.60088,1.03185,0.76944,0.6811,0.75292,0.53052,1.0519,0.99945,1.26054,2.89398e-05,2.89398e-05,2.89398e-05
49,1210.32,0.67542,0.59594,1.01992,0.78316,0.67503,0.75457,0.53286,1.05126,0.99355,1.26092,2.06832e-05,2.06832e-05,2.06832e-05
50,1234.73,0.67014,0.59027,1.02303,0.79372,0.66713,0.75581,0.53518,1.04489,0.99474,1.25671,1.24266e-05,1.24266e-05,1.24266e-05
