epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.7239,0.99917,3.14569,1.27078,0.56149,0.52309,0.55441,0.38062,1.02991,1.78001,1.25452,0.000138115,0.000138115,0.000138115
2,52.3554,1.09066,2.04749,1.33376,0.59163,0.59372,0.60447,0.40028,1.10285,1.52409,1.32712,0.000271628,0.000271628,0.000271628
3,77.7489,1.10587,1.86691,1.3369,0.59211,0.54068,0.57036,0.35852,1.17034,1.49818,1.37206,0.000399637,0.000399637,0.000399637
4,102.936,1.12244,1.81847,1.34786,0.60458,0.5548,0.57506,0.36699,1.17661,1.55125,1.3753,0.00039223,0.00039223,0.00039223
5,127.7,1.09962,1.75558,1.34255,0.64829,0.56406,0.61112,0.39015,1.15678,1.39848,1.34262,0.000383974,0.000383974,0.000383974
6,152.773,1.07709,1.6739,1.32095,0.6626,0.54511,0.60509,0.38767,1.1499,1.44133,1.35003,0.000375717,0.000375717,0.000375717
7,180.081,1.07304,1.61005,1.31718,0.63249,0.56108,0.60332,0.3936,1.17588,1.42867,1.36924,0.00036746,0.00036746,0.00036746
8,209.197,1.0717,1.55347,1.30978,0.68109,0.57561,0.63818,0.42096,1.1529,1.33646,1.34096,0.000359204,0.000359204,0.000359204
9,237.84,1.05373,1.49772,1.29761,0.68799,0.57771,0.64488,0.41712,1.16456,1.34431,1.35175,0.000350947,0.000350947,0.000350947
10,266.532,1.03092,1.42802,1.28308,0.65139,0.58683,0.6349,0.41131,1.16228,1.37177,1.35475,0.000342691,0.000342691,0.000342691
11,291.302,1.0098,1.40307,1.27593,0.65126,0.5922,0.63565,0.40827,1.17574,1.34508,1.3615,0.000334434,0.000334434,0.000334434
12,316.319,1.01337,1.37028,1.27575,0.70409,0.59354,0.66572,0.44223,1.12066,1.25749,1.31266,0.000326177,0.000326177,0.000326177
13,341.364,0.99273,1.30661,1.25342,0.69652,0.61698,0.67003,0.44424,1.12568,1.25319,1.31404,0.000317921,0.000317921,0.000317921
14,366.449,0.99508,1.28696,1.25394,0.68879,0.61171,0.67016,0.44678,1.11945,1.24638,1.31,0.000309664,0.000309664,0.000309664
15,392.561,0.99371,1.26868,1.25258,0.68648,0.64332,0.69067,0.46442,1.11929,1.20569,1.32506,0.000301408,0.000301408,0.000301408
16,418.66,0.96981,1.22083,1.23396,0.68001,0.62478,0.67062,0.44881,1.13177,1.23398,1.31316,0.000293151,0.000293151,0.000293151
17,443.825,0.96714,1.19875,1.24095,0.70842,0.61119,0.68302,0.46009,1.12043,1.20671,1.30589,0.000284894,0.000284894,0.000284894
18,469.076,0.97742,1.19437,1.23856,0.68661,0.63475,0.67479,0.45378,1.11672,1.2007,1.30773,0.000276638,0.000276638,0.000276638
19,493.934,0.9463,1.15116,1.21998,0.69286,0.61696,0.6835,0.45977,1.11868,1.21719,1.31546,0.000268381,0.000268381,0.000268381
20,518.872,0.93244,1.12574,1.21439,0.70488,0.64038,0.69311,0.46343,1.11766,1.1608,1.31076,0.000260125,0.000260125,0.000260125
21,543.65,0.93525,1.10517,1.2055,0.71853,0.64307,0.70296,0.47623,1.10546,1.14798,1.30542,0.000251868,0.000251868,0.000251868
22,568.769,0.92893,1.07978,1.20455,0.73023,0.62887,0.69445,0.46719,1.12532,1.17164,1.31167,0.000243611,0.000243611,0.000243611
23,594.252,0.91767,1.06739,1.1971,0.69217,0.64462,0.69434,0.45999,1.116,1.14743,1.29623,0.000235355,0.000235355,0.000235355
24,623.046,0.91847,1.05248,1.19539,0.72129,0.65109,0.71335,0.48307,1.11556,1.11965,1.29983,0.000227098,0.000227098,0.000227098
25,650.361,0.90475,1.01624,1.18117,0.70337,0.66871,0.71721,0.4851,1.10177,1.11903,1.2936,0.000218842,0.000218842,0.000218842
26,675.255,0.88556,0.99727,1.16954,0.7329,0.66229,0.72925,0.49429,1.09531,1.08576,1.28906,0.000210585,0.000210585,0.000210585
27,700.344,0.89726,0.99449,1.18435,0.76874,0.65327,0.73204,0.50478,1.09355,1.09591,1.2842,0.000202328,0.000202328,0.000202328
28,725.959,0.89511,0.97691,1.17746,0.75974,0.62739,0.71873,0.48866,1.10147,1.09286,1.29417,0.000194072,0.000194072,0.000194072
29,750.99,0.87086,0.96449,1.16946,0.74173,0.67845,0.73642,0.50861,1.08207,1.05372,1.28356,0.000185815,0.000185815,0.000185815
30,776.285,0.8653,0.95408,1.15858,0.74807,0.65309,0.72619,0.49441,1.10024,1.08285,1.29128,0.000177559,0.000177559,0.000177559
31,801.549,0.87804,0.95566,1.16337,0.75924,0.64611,0.73302,0.5041,1.0875,1.06841,1.28079,0.000169302,0.000169302,0.000169302
32,827.472,0.84717,0.91408,1.15144,0.74495,0.66456,0.73567,0.50807,1.07625,1.04684,1.27064,0.000161045,0.000161045,0.000161045
33,853.224,0.84706,0.90622,1.1462,0.73383,0.6748,0.7362,0.50823,1.07288,1.0515,1.27486,0.000152789,0.000152789,0.000152789
34,878.444,0.85247,0.91362,1.15296,0.73653,0.66708,0.72943,0.5033,1.08107,1.04579,1.28174,0.000144532,0.000144532,0.000144532
35,903.899,0.84066,0.88932,1.13716,0.72971,0.68731,0.73969,0.51201,1.08014,1.03563,1.27885,0.000136276,0.000136276,0.000136276
36,930.136,0.81859,0.87197,1.13556,0.76196,0.66779,0.74195,0.50891,1.07835,1.04566,1.27979,0.000128019,0.000128019,0.000128019
37,955.863,0.81934,0.85566,1.13121,0.76697,0.666,0.74542,0.5125,1.08907,1.02972,1.28516,0.000119762,0.000119762,0.000119762
38,983.447,0.81529,0.84273,1.12499,0.76527,0.65711,0.7361,0.50519,1.084,1.04519,1.27905,0.000111506,0.000111506,0.000111506
39,1009.66,0.81689,0.83286,1.11944,0.76572,0.66639,0.74645,0.51846,1.06794,1.01239,1.2624,0.000103249,0.000103249,0.000103249
40,1035.86,0.80003,0.8357,1.12298,0.76439,0.66587,0.74408,0.51644,1.07068,1.03105,1.26794,9.49926e-05,9.49926e-05,9.49926e-05
41,1072.12,0.76604,0.74205,1.09062,0.75031,0.6687,0.73275,0.50831,1.06959,1.03789,1.27582,8.6736e-05,8.6736e-05,8.6736e-05
42,1096.43,0.73765,0.67066,1.07183,0.77004,0.6472,0.72947,0.50174,1.08434,1.04829,1.28468,7.84794e-05,7.84794e-05,7.84794e-05
43,1120.8,0.7208,0.65974,1.06076,0.77081,0.66794,0.74172,0.5158,1.06918,1.02047,1.27434,7.02228e-05,7.02228e-05,7.02228e-05
44,1145.15,0.71241,0.6365,1.04664,0.75153,0.67899,0.73984,0.51218,1.08385,1.03694,1.28283,6.19662e-05,6.19662e-05,6.19662e-05
45,1170.09,0.71452,0.6267,1.046,0.7362,0.68973,0.74,0.5171,1.06905,1.02156,1.27781,5.37096e-05,5.37096e-05,5.37096e-05
46,1194.63,0.70384,0.61657,1.03651,0.74994,0.67772,0.74081,0.51992,1.05888,1.01742,1.26694,4.5453e-05,4.5453e-05,4.5453e-05
47,1218.86,0.68938,0.59488,1.03928,0.73949,0.68683,0.74216,0.51922,1.06843,1.02425,1.27757,3.71964e-05,3.71964e-05,3.71964e-05
48,1243.15,0.69417,0.59752,1.03863,0.75227,0.68357,0.74438,0.52281,1.06184,1.01513,1.27249,2.89398e-05,2.89398e-05,2.89398e-05
49,1267.56,0.68664,0.58986,1.02726,0.75594,0.68324,0.74647,0.52393,1.06323,1.00427,1.27367,2.06832e-05,2.06832e-05,2.06832e-05
50,1292.76,0.67413,0.58357,1.0294,0.76949,0.67285,0.74997,0.52787,1.05362,1.00076,1.26774,1.24266e-05,1.24266e-05,1.24266e-05
