epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.1189,1.01406,3.19414,1.28615,0.55761,0.50502,0.53192,0.35622,1.05582,1.76064,1.27747,0.000138115,0.000138115,0.000138115
2,52.2567,1.1108,2.11325,1.35685,0.59058,0.56356,0.57647,0.37946,1.11101,1.53475,1.32688,0.000271628,0.000271628,0.000271628
3,77.1871,1.12555,1.95191,1.36103,0.5862,0.56483,0.57062,0.36815,1.17295,1.52435,1.36986,0.000399637,0.000399637,0.000399637
4,102.313,1.13256,1.8675,1.36434,0.61067,0.51731,0.55272,0.3511,1.19016,1.59208,1.37453,0.00039223,0.00039223,0.00039223
5,127.65,1.1105,1.82277,1.3592,0.57343,0.55137,0.56966,0.36779,1.18944,1.50036,1.39148,0.000383974,0.000383974,0.000383974
6,152.553,1.10203,1.73882,1.34641,0.59688,0.53471,0.56489,0.35755,1.20348,1.50307,1.39501,0.000375717,0.000375717,0.000375717
7,177.699,1.09024,1.66938,1.33278,0.63027,0.53898,0.58303,0.37806,1.16341,1.45425,1.37031,0.00036746,0.00036746,0.00036746
8,204.772,1.08027,1.6157,1.32406,0.68429,0.554,0.62309,0.41039,1.15942,1.37905,1.35744,0.000359204,0.000359204,0.000359204
9,233.19,1.07221,1.55666,1.31487,0.63857,0.55171,0.60188,0.39241,1.17417,1.42276,1.3717,0.000350947,0.000350947,0.000350947
10,260.896,1.0469,1.48864,1.29627,0.65137,0.58196,0.63075,0.41023,1.16872,1.37902,1.35756,0.000342691,0.000342691,0.000342691
11,286.493,1.02467,1.45245,1.29158,0.63977,0.60604,0.63823,0.40808,1.18239,1.34098,1.36542,0.000334434,0.000334434,0.000334434
12,311.375,1.0288,1.43392,1.29284,0.68796,0.60428,0.66927,0.44455,1.12747,1.276,1.33284,0.000326177,0.000326177,0.000326177
13,336.242,1.0112,1.36454,1.2693,0.62591,0.62945,0.64499,0.43093,1.13668,1.29256,1.32962,0.000317921,0.000317921,0.000317921
14,360.842,1.01182,1.332,1.26531,0.67143,0.59463,0.64432,0.42651,1.13593,1.29303,1.33065,0.000309664,0.000309664,0.000309664
15,385.553,1.00411,1.32428,1.26185,0.71041,0.58833,0.6663,0.44349,1.15234,1.2929,1.36209,0.000301408,0.000301408,0.000301408
16,410.727,0.98725,1.28235,1.24768,0.67984,0.61984,0.67198,0.44525,1.16199,1.26697,1.34132,0.000293151,0.000293151,0.000293151
17,436.889,0.98211,1.23696,1.24964,0.72141,0.58993,0.66429,0.44235,1.14227,1.26374,1.33752,0.000284894,0.000284894,0.000284894
18,461.546,0.98386,1.24222,1.24711,0.6625,0.61616,0.65538,0.43712,1.1446,1.25049,1.3275,0.000276638,0.000276638,0.000276638
19,486.427,0.95543,1.19745,1.22679,0.71698,0.60236,0.6795,0.45994,1.1156,1.21028,1.30692,0.000268381,0.000268381,0.000268381
20,511.364,0.94784,1.17891,1.2244,0.73673,0.5993,0.68034,0.45928,1.13113,1.19747,1.32427,0.000260125,0.000260125,0.000260125
