seed,visual_pipeline,precision_N0,precision_N1,delta_precision,recall_N0,recall_N1,delta_recall,mAP50_N0,mAP50_N1,delta_mAP50,mAP50_95_N0,mAP50_95_N1,delta_mAP50_95
7,A,0.75436,0.79372,0.03935999999999995,0.7037,0.66713,-0.03656999999999999,0.757,0.75581,-0.0011900000000000244,0.53498,0.53518,0.00019999999999997797
42,A,0.77312,0.77476,0.0016399999999999748,0.68066,0.67603,-0.004630000000000023,0.75832,0.75473,-0.003589999999999982,0.53526,0.53116,-0.0040999999999999925
123,A,0.7478,0.75371,0.005909999999999971,0.69556,0.68365,-0.011909999999999976,0.74365,0.74679,0.0031399999999999206,0.52448,0.52703,0.0025500000000000522
