seed,mAP50_A_N0,mAP50_A_N1,mAP50_C_N0,mAP50_C_N1,mAP50_95_A_N0,mAP50_95_A_N1,mAP50_95_C_N0,mAP50_95_C_N1,precision_A_N0,precision_A_N1,precision_C_N0,precision_C_N1,recall_A_N0,recall_A_N1,recall_C_N0,recall_C_N1
7,0.757,0.75581,0.76139,0.75318,0.53498,0.53518,0.53664,0.53331,0.75436,0.79372,0.79044,0.75387,0.7037,0.66713,0.68078,0.69667
42,0.75832,0.75473,0.74997,0.75299,0.53526,0.53116,0.52787,0.52789,0.77312,0.77476,0.76949,0.74839,0.68066,0.67603,0.67285,0.68815
123,0.74365,0.74679,0.75313,0.74376,0.52448,0.52703,0.52481,0.52004,0.7478,0.75371,0.73537,0.78297,0.69556,0.68365,0.71011,0.66723
