seed,mAP50_A_N0,mAP50_A_N1,mAP50_B_N0,mAP50_B_N1,mAP50_C_N0,mAP50_C_N1,mAP50_95_A_N0,mAP50_95_A_N1,mAP50_95_B_N0,mAP50_95_B_N1,mAP50_95_C_N0,mAP50_95_C_N1,precision_A_N0,precision_A_N1,precision_B_N0,precision_B_N1,precision_C_N0,precision_C_N1,recall_A_N0,recall_A_N1,recall_B_N0,recall_B_N1,recall_C_N0,recall_C_N1
7,0.757,0.75581,0.73925,0.73523,0.76139,0.75318,0.53498,0.53518,0.51894,0.51763,0.53664,0.53331,0.75436,0.79372,0.75265,0.73192,0.79044,0.75387,0.7037,0.66713,0.67047,0.68597,0.68078,0.69667
42,0.75832,0.75473,0.73531,0.73015,0.74997,0.75299,0.53526,0.53116,0.51525,0.51164,0.52787,0.52789,0.77312,0.77476,0.75519,0.75298,0.76949,0.74839,0.68066,0.67603,0.67093,0.66942,0.67285,0.68815
123,0.74365,0.74679,0.73189,0.73614,0.75131,0.74376,0.52448,0.52703,0.51325,0.518,0.52507,0.52004,0.7478,0.75371,0.77494,0.79606,0.77881,0.78297,0.69556,0.68365,0.65137,0.64906,0.66944,0.66723
