epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.8565,1.01984,3.13894,1.27634,0.60984,0.51703,0.55786,0.37639,1.05292,1.68077,1.2488,0.000138115,0.000138115,0.000138115
2,50.4554,1.11633,2.07777,1.33798,0.6187,0.55376,0.59189,0.38566,1.1348,1.51795,1.32987,0.000271628,0.000271628,0.000271628
3,75.093,1.12097,1.89001,1.34523,0.61665,0.54709,0.57478,0.36966,1.17449,1.52863,1.3708,0.000399637,0.000399637,0.000399637
4,99.4013,1.13606,1.86608,1.35514,0.56941,0.51683,0.53937,0.34386,1.20638,1.61015,1.38499,0.00039223,0.00039223,0.00039223
5,123.721,1.11091,1.80357,1.34929,0.63671,0.5454,0.59447,0.37807,1.18293,1.4784,1.3732,0.000383974,0.000383974,0.000383974
6,149.703,1.09869,1.71179,1.33662,0.64068,0.56326,0.6026,0.38621,1.18043,1.44553,1.36419,0.000375717,0.000375717,0.000375717
7,175.311,1.08171,1.64751,1.31978,0.64473,0.57662,0.61922,0.40375,1.17198,1.42912,1.36066,0.00036746,0.00036746,0.00036746
8,202.017,1.08297,1.59788,1.31435,0.67717,0.57695,0.64327,0.42361,1.16374,1.32562,1.34948,0.000359204,0.000359204,0.000359204
9,227.801,1.07714,1.54555,1.30111,0.64599,0.57841,0.61878,0.40219,1.16454,1.35915,1.34812,0.000350947,0.000350947,0.000350947
10,253.386,1.04501,1.48945,1.29109,0.66875,0.57996,0.62799,0.41061,1.15357,1.34791,1.33623,0.000342691,0.000342691,0.000342691
11,278.209,1.02967,1.46637,1.28841,0.67484,0.57493,0.63005,0.41077,1.15835,1.34245,1.34283,0.000334434,0.000334434,0.000334434
12,302.911,1.02549,1.4302,1.28096,0.68877,0.60842,0.656,0.43025,1.14918,1.28421,1.33817,0.000326177,0.000326177,0.000326177
13,327.483,1.01412,1.36772,1.26946,0.66961,0.62412,0.66627,0.43584,1.14284,1.27545,1.33325,0.000317921,0.000317921,0.000317921
