epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.7903,0.99528,3.13581,1.26799,0.54194,0.51897,0.54606,0.37637,1.0019,1.75018,1.23284,0.000138115,0.000138115,0.000138115
2,51.4011,1.08966,2.03447,1.33129,0.62405,0.58917,0.62431,0.41409,1.08425,1.54075,1.30832,0.000271628,0.000271628,0.000271628
3,76.1355,1.10316,1.87559,1.33824,0.58187,0.52442,0.55979,0.34914,1.1955,1.61699,1.42571,0.000399637,0.000399637,0.000399637
4,103.089,1.10688,1.79928,1.34472,0.59399,0.5828,0.5912,0.37464,1.19372,1.533,1.36121,0.00039223,0.00039223,0.00039223
5,128.381,1.08299,1.77201,1.33934,0.66445,0.58329,0.62474,0.40618,1.16536,1.43056,1.35653,0.000383974,0.000383974,0.000383974
6,153.194,1.07933,1.675,1.32496,0.64613,0.57339,0.61549,0.40521,1.12797,1.41434,1.33331,0.000375717,0.000375717,0.000375717
7,177.707,1.06417,1.60152,1.31413,0.62601,0.57733,0.61563,0.39447,1.17177,1.40085,1.36515,0.00036746,0.00036746,0.00036746
8,203.167,1.0682,1.55932,1.30798,0.67126,0.58999,0.64761,0.42407,1.14611,1.35849,1.34361,0.000359204,0.000359204,0.000359204
9,228.88,1.05406,1.47662,1.29568,0.67587,0.57612,0.6383,0.41326,1.1565,1.33656,1.34308,0.000350947,0.000350947,0.000350947
10,254.428,1.02468,1.42712,1.28047,0.67264,0.60035,0.6452,0.42466,1.14227,1.29937,1.32134,0.000342691,0.000342691,0.000342691
11,281.217,0.9964,1.39749,1.27108,0.68817,0.58506,0.64849,0.42473,1.15425,1.31216,1.35197,0.000334434,0.000334434,0.000334434
12,307.809,1.0125,1.37576,1.27482,0.65955,0.6163,0.65855,0.43456,1.12777,1.2746,1.32423,0.000326177,0.000326177,0.000326177
13,334.403,0.98662,1.30284,1.25043,0.70171,0.61106,0.66954,0.44896,1.11841,1.26281,1.31521,0.000317921,0.000317921,0.000317921
14,359.727,0.98639,1.28877,1.24692,0.68011,0.62849,0.67159,0.44818,1.132,1.22659,1.31961,0.000309664,0.000309664,0.000309664
15,386.792,0.98645,1.26823,1.25084,0.70932,0.62109,0.69106,0.45952,1.11481,1.20318,1.31453,0.000301408,0.000301408,0.000301408
16,413.774,0.97107,1.23086,1.23675,0.71124,0.63621,0.68852,0.46349,1.11706,1.20228,1.3009,0.000293151,0.000293151,0.000293151
17,440.109,0.96748,1.1951,1.23643,0.69671,0.63102,0.69607,0.46965,1.09117,1.17722,1.2906,0.000284894,0.000284894,0.000284894
18,466.453,0.96455,1.18538,1.2303,0.72553,0.62221,0.69842,0.46651,1.10881,1.17631,1.30145,0.000276638,0.000276638,0.000276638
19,492.787,0.94134,1.15496,1.2131,0.71835,0.6454,0.70698,0.4761,1.09458,1.13613,1.28068,0.000268381,0.000268381,0.000268381
20,520.376,0.92902,1.12184,1.20974,0.70113,0.65395,0.71057,0.47619,1.11873,1.14894,1.3085,0.000260125,0.000260125,0.000260125
21,547.722,0.93302,1.09919,1.20336,0.73019,0.63534,0.70919,0.48298,1.09717,1.16545,1.29579,0.000251868,0.000251868,0.000251868
22,574.422,0.9235,1.07323,1.19698,0.73792,0.64635,0.71925,0.48529,1.11163,1.10815,1.29929,0.000243611,0.000243611,0.000243611
23,599.441,0.91486,1.06138,1.19488,0.72066,0.65744,0.71882,0.48552,1.0982,1.11855,1.28872,0.000235355,0.000235355,0.000235355
24,624.173,0.91528,1.0536,1.19333,0.73606,0.65705,0.72363,0.49466,1.09697,1.10747,1.28614,0.000227098,0.000227098,0.000227098
25,649.607,0.89374,1.00765,1.17651,0.72577,0.65976,0.72034,0.48867,1.08831,1.09706,1.28219,0.000218842,0.000218842,0.000218842
26,677.073,0.89034,0.99495,1.17419,0.74424,0.65415,0.72911,0.49952,1.08756,1.08203,1.27859,0.000210585,0.000210585,0.000210585
27,703.6,0.89191,0.98532,1.18042,0.75382,0.63968,0.72479,0.49584,1.08338,1.09242,1.27566,0.000202328,0.000202328,0.000202328
28,730.909,0.88639,0.97293,1.17325,0.75953,0.65313,0.72339,0.49671,1.07561,1.08551,1.27242,0.000194072,0.000194072,0.000194072
29,756.423,0.86735,0.96303,1.16733,0.73699,0.67579,0.73748,0.512,1.06991,1.06671,1.26685,0.000185815,0.000185815,0.000185815
30,782.304,0.86432,0.94643,1.15603,0.73585,0.67426,0.73038,0.49834,1.09542,1.07383,1.28124,0.000177559,0.000177559,0.000177559
31,807.852,0.87247,0.94621,1.15783,0.73356,0.67722,0.73903,0.50638,1.07736,1.06411,1.27189,0.000169302,0.000169302,0.000169302
32,832.353,0.84082,0.91296,1.14722,0.76861,0.65291,0.74168,0.51116,1.07497,1.04803,1.27643,0.000161045,0.000161045,0.000161045
33,858.437,0.84349,0.91009,1.14672,0.76295,0.66118,0.73773,0.50997,1.07453,1.04257,1.26614,0.000152789,0.000152789,0.000152789
34,884.064,0.84817,0.91103,1.14889,0.74161,0.67199,0.73761,0.50546,1.0784,1.04923,1.2749,0.000144532,0.000144532,0.000144532
35,909.877,0.83723,0.88022,1.13537,0.74711,0.67926,0.74342,0.5141,1.07407,1.03079,1.27319,0.000136276,0.000136276,0.000136276
36,937.292,0.8151,0.8696,1.13425,0.74721,0.68877,0.75013,0.52132,1.06441,1.03475,1.25902,0.000128019,0.000128019,0.000128019
37,965.112,0.81807,0.84705,1.12864,0.74259,0.68776,0.74747,0.51668,1.0801,1.03316,1.27707,0.000119762,0.000119762,0.000119762
